row,col,targetType,obstacle
1,2,hoop,none
1,1,hoop,none
1,3,hoop,none
2,2,hoop,none
1,0,hoop,none
1,4,hoop,none
2,1,hoop,none
2,3,hoop,none
1,2,hoop,none
2,0,hoop,none
2,4,hoop,none
1,1,hoop,none
1,3,hoop,none
2,2,hoop,none
1,2,hoop,none
1,2,hoop,sideways
1,1,hoop,sideways
1,3,hoop,sideways
2,2,hoop,updown
1,0,hoop,sideways
1,4,hoop,sideways
2,1,hoop,updown
2,3,hoop,updown
1,2,hoop,sideways
2,0,hoop,updown
2,4,hoop,updown
1,1,hoop,updown
1,3,hoop,updown
2,2,hoop,sideways
1,2,hoop,sideways
1,2,hoop,wavy
1,1,hoop,wavy
1,3,hoop,wavy
2,2,hoop,wavy
1,0,hoop,sideways
1,4,hoop,sideways
2,1,hoop,updown
2,3,hoop,updown
1,2,hoop,wavy
2,0,hoop,wavy
2,4,hoop,wavy
1,1,hoop,sideways
1,3,hoop,wavy
2,2,hoop,updown
1,2,hoop,wavy
