delay,row,col,targetType,obstacle
2.0,0,2,pins,none
0.5,0,1,pins,none
0.5,0,3,pins,none
0.5,0,0,pins,none
0.5,0,4,pins,none
0.5,0,2,pins,none
0.5,0,1,pins,none
0.5,0,3,pins,none
0.5,0,0,pins,none
0.5,0,4,pins,none
0.5,0,2,pins,none
0.5,0,1,pins,none
0.5,0,3,pins,none
0.5,0,0,pins,none
0.5,0,4,pins,none
0.5,0,2,pins,speedbump
0.5,0,1,pins,sliding
0.5,0,3,pins,spinning
0.5,0,0,pins,swinging
0.5,0,4,pins,popup
0.5,0,2,pins,sliding
0.5,0,1,pins,spinning
0.5,0,3,pins,speedbump
0.5,0,0,pins,popup
0.5,0,4,pins,swinging
0.5,0,2,pins,spinning
0.5,0,1,pins,speedbump
0.5,0,3,pins,sliding
0.5,0,0,pins,swinging
0.5,0,4,pins,popup
0.5,0,2,pins,popup
0.5,0,1,pins,swinging
0.5,0,3,pins,sliding
0.5,0,0,pins,spinning
0.5,0,4,pins,speedbump
0.5,0,2,pins,sliding
0.5,0,1,pins,popup
0.5,0,3,pins,swinging
0.5,0,0,pins,speedbump
0.5,0,4,pins,spinning
0.5,0,2,pins,swinging
0.5,0,1,pins,sliding
0.5,0,3,pins,popup
0.5,0,0,pins,spinning
0.5,0,4,pins,speedbump
