TargetRow,TargetCol,ObstacleType
1,2,None
1,2,None
1,1,None
1,3,None
1,2,None
1,0,None
1,4,None
1,1,None
1,3,None
1,2,None
0,2,None
0,1,None
0,3,None
0,2,None
2,2,None
2,1,None
2,3,None
2,2,None
1,0,None
1,4,None
0,0,None
0,4,None
2,0,None
2,4,None
1,2,None
1,1,None
2,1,None
0,1,None
1,3,None
2,3,None
0,3,None
1,2,None
0,0,None
2,4,None
1,2,None
2,0,None
0,4,None
1,2,None
1,1,None
1,3,None
0,2,None
2,2,None
1,0,None
1,4,None
0,1,None
2,3,None
0,3,None
2,1,None
1,2,None
0,0,None
2,0,None
0,4,None
2,4,None
1,2,None
1,1,None
1,3,None
0,2,None
2,2,None
1,0,None
1,4,None
0,0,None
2,4,None
0,4,None
2,0,None
1,2,None
