row,col,targetType,obstacle
0,2,pins,sliding
1,1,hoop,none
1,3,balloon,none
0,2,canpyramid,none
0,4,pins,rumble
2,2,hoop,sideways
1,0,balloon,none
0,3,pins,speedbump
0,3,canpyramid,none
1,4,hoop,none
0,2,pins,gate
2,3,balloon,none
1,2,hoop,updown
0,4,pins,swinging
0,0,canpyramid,none
2,0,hoop,wavy
1,1,balloon,none
0,1,pins,none
1,3,hoop,none
2,1,balloon,none
0,2,pins,none
0,2,canpyramid,none
1,4,balloon,none
2,4,hoop,none
0,1,canpyramid,none
1,0,hoop,none
0,3,canpyramid,none
2,2,balloon,none
0,4,pins,none
1,2,balloon,none
0,0,pins,none
1,1,hoop,none
