O, (23,8);(17,22)
G, (-19,5);(-32,16);(-45,27);(-50,27)
G, (17,15);(-7,8);(-31,1)
G, (39,25);(50,27)
O, (13,25);(-6,-5)
B, (-18,-4);(-37,-10);(-50,-10)
O, (-47,19);(19,-10)
G, (45,9);(24,-4);(3,-10)
O, (3,6);(-3,23)
B, (17,21);(28,27);(39,27)
G, (-1,22);(9,7)
O, (31,1);(-30,6)
O, (-5,25);(-44,26)
O, (-1,-4)
O, (-31,-9);(17,24)
O, (-10,24);(-43,16)
G, (-25,24);(-45,10);(-50,-4);(-50,-10)
B, (21,6);(36,-4);(50,-10)
B, (7,13);(-5,26);(-17,27);(-29,27)
O, (-36,-7);(32,25)
G, (45,21);(50,15);(50,9)
G, (-5,11);(8,-1);(21,-10);(34,-10)
O, (-48,12);(-33,10)
B, (-38,13);(-49,0);(-50,-10)
O, (7,1);(-26,22)
B, (-22,0);(-47,11);(-50,22)
O, (31,24);(-33,15)
B, (21,26);(33,27);(45,27);(50,27)
B, (-35,-7);(-17,1);(1,9)
B, (25,18);(1,10);(-23,2)
O, (19,14);(5,4)
O, (24,-6);(5,21)
G, (-27,22);(-45,27);(-50,27)
G, (-3,10);(15,5);(33,0);(50,-5)
B, (38,26);(50,12);(50,-2);(50,-10)
G, (-30,19);(-14,11);(2,3)
G, (7,23);(25,10);(43,-3);(50,-10)
O, (33,8);(-3,22)
G, (-1,6);(15,20);(31,27)
O, (35,13);(-34,-4)
G, (6,24);(-14,27)
O, (-22,2);(-47,14)
O, (-25,25);(-31,11)
B, (50,12);(28,-2);(6,-10);(-16,-10)
O, (-1,25);(11,8)
O, (-26,18);(9,3)
G, (-45,22);(-50,14);(-50,6);(-50,-2)
B, (-27,-5);(-41,3);(-50,11)
O, (31,25);(35,4)
O, (-50,-8);(31,-7)
G, (37,-9);(25,-10);(13,-10)
B, (-47,23);(-50,15);(-50,7)
O, (-12,10);(37,-8)
B, (36,-6);(50,-10)
G, (1,20);(17,27);(33,27)
G, (-45,19);(-50,4);(-50,-10)
B, (-34,-2);(-23,8);(-12,18)
O, (-49,8);(-31,4)
O, (-24,0);(-8,-7)
B, (-14,2);(5,11);(24,20);(43,27)
G, (10,-4);(32,2);(50,8)
O, (-30,24);(-12,16)
G, (1,-4);(17,-10);(33,-10)
O, (49,10);(34,16)
B, (-20,8);(-39,-3);(-50,-10)
O, (-22,-7);(-18,8)
O, (-19,23);(-11,11)
B, (-16,-10);(-34,-2);(-50,6);(-50,14)
G, (-27,24);(-40,27)
O, (-22,23);(34,-2)
B, (13,10);(-11,21);(-35,27)
B, (-11,-4);(8,-10);(27,-10)
O, (25,4);(-3,15)
O, (23,13);(12,-2)
G, (-18,13);(-41,18);(-50,23)
O, (6,-8);(18,26)
G, (5,-1);(23,11);(41,23)
G, (42,5);(50,16)
O, (31,-7);(24,18)
B, (-33,1);(-44,-4);(-50,-9)
G, (-6,18);(5,25);(16,27)
G, (8,-1);(-10,-10)
O, (42,-7);(-11,19)
O, (-19,-2);(7,1)
G, (-37,22);(-12,27);(13,27);(38,27)
O, (32,18);(40,3)
G, (-4,19);(-29,27)
O, (0,-1);(-21,11)
B, (43,15);(19,0);(-5,-10)
G, (-8,26);(-26,27);(-44,27);(-50,27)
G, (-39,15);(-25,9);(-11,3)
B, (-12,16);(-22,7);(-32,-2)
G, (-18,-9);(-4,2);(10,13);(24,24)
O, (8,-3);(7,18)
G, (-41,22);(-50,15);(-50,8)
G, (46,3);(26,-10);(6,-10);(-14,-10)
G, (11,-1);(1,6);(-9,13);(-19,20)
O, (32,19);(-38,15)
B, (-20,26);(-44,27);(-50,27)
B, (24,24);(47,27);(50,27)
