O, (0,0);(10,10)
B, (-10,10);(0,0);(10,-10)
G, (-15,0);(-5,10);(5,0);(15,10)
A, (-20,0);(-10,-10);(0,0);(10,-10)
G, (7,25);(-3,32);(-13,32);(-23,32);(-33,32);(-43,32)
O, (42,13);(-16,3);(41,-7)
G, (-18,-14);(-36,-15);(-52,-15)
A, (-49,15);(-46,-6);(16,-11);(-48,20);(-46,26);(29,21)
G, (-25,14);(-44,-1);(-52,-15)
O, (29,-14);(31,23);(42,1)
O, (32,16);(-51,4);(41,1)
T, (31,-5);(8,14);(36,10);(-50,-5)
G, (-51,-5);(-52,-11);(-52,-15)
A, (42,9);(-32,27);(-45,23);(38,31);(-17,25);(-48,13)
B, (25,4);(36,-4);(47,-12);(52,-15)
T, (-39,-9);(33,31);(-45,23);(-33,32);(-21,11);(-14,-1);(18,29);(3,28)
O, (-38,2);(-10,-12);(-45,15)
O, (-39,22);(-54,25);(31,-5)
B, (-15,14);(-34,21);(-52,28);(-52,32)
T, (14,-15);(48,4);(9,18);(-15,11);(-15,-6);(-1,-13)
G, (-19,22);(-9,14);(1,6);(11,-2);(21,-10);(31,-15);(41,-15)
B, (-49,-9);(-28,-15);(-7,-15);(14,-15);(35,-15);(52,-15)
A, (6,7);(30,-3);(-30,26);(23,2);(25,20);(12,9)
O, (-16,8);(37,1)
G, (31,13);(50,22);(52,31)
G, (-37,14);(-50,5);(-52,-4);(-52,-13);(-52,-15)
O, (16,19);(9,1);(26,30)
O, (-32,25);(0,26);(47,24)
O, (46,-12);(18,8);(47,8)
T, (-13,25);(17,11);(-21,-1);(-38,30);(9,-15);(19,-4)
O, (-52,1);(19,2);(35,-3)
O, (-30,0);(-40,-12);(-14,31)
G, (-1,-8);(-18,0);(-35,8);(-52,16);(-52,24);(-52,32)
A, (46,29);(-10,1);(28,-12);(28,28);(33,11);(28,7);(51,28)
G, (-34,-7);(-51,-15)
G, (48,29);(28,32);(8,32);(-12,32);(-32,32);(-52,32)
A, (-37,2);(27,19);(-26,25);(35,-7)
O, (33,-10);(-42,4);(-28,1)
O, (6,-7);(7,7);(38,-12)
T, (24,7);(3,-4);(-7,10);(43,31);(14,-15);(9,9)
O, (-22,14);(-37,-10);(-4,-15)
T, (48,-9);(-29,16);(23,-2);(50,28);(12,10);(26,13)
B, (2,9);(22,1);(42,-7);(52,-15)
O, (-49,23);(52,21);(-3,12)
O, (-33,27);(-13,-12);(-43,-14)
B, (-1,1);(24,8);(49,15);(52,22);(52,29);(52,32)
T, (51,-14);(-4,5);(1,-8);(37,-8);(-24,14);(-28,0)
T, (-54,10);(-16,0);(-39,9);(45,-12)
O, (-51,-4);(7,11)
A, (18,-14);(23,28);(25,10);(-43,-13);(-51,30);(-20,18);(-37,24)
T, (37,21);(44,8);(-40,16);(24,-10);(44,34);(-36,-13)
T, (-13,-11);(21,-5);(13,30);(-17,6);(-28,-5);(-48,11);(-7,19);(38,32)
G, (28,8);(44,13);(52,18);(52,23)
T, (19,11);(10,-1);(33,7);(24,27)
B, (-20,17);(-35,25);(-50,32);(-52,32)
O, (-8,8);(-39,-8);(-15,21)
T, (-7,-9);(6,28);(-26,-13);(-20,0)
A, (-19,12);(26,-8);(-46,2);(52,17);(-1,-13);(41,9);(-48,32);(-29,8)
O, (-19,-1);(-42,27);(-52,-11)
G, (-13,-15);(-26,-4);(-39,7);(-52,18);(-52,29);(-52,32)
O, (27,22);(16,11);(-23,0)
B, (40,0);(52,5);(52,10);(52,15);(52,20);(52,25);(52,30)
O, (28,23);(-14,-14);(10,16)
G, (-44,0);(-32,10);(-20,20);(-8,30);(4,32);(16,32);(28,32)
A, (36,0);(-21,2);(3,0);(-26,6);(5,15);(27,25);(-41,9)
O, (-39,29);(34,18);(18,-6)
T, (27,24);(17,-1);(-37,27);(-13,4);(-41,9);(33,-9)
G, (-52,7);(-52,19);(-52,31)
A, (-11,9);(30,10);(23,16);(-37,-7);(28,-6);(-51,1)
O, (21,-10);(-4,15);(-49,1)
G, (3,23);(19,31);(35,32);(51,32)
