T, (-49,1);(-27,11);(-2,16);(40,14)
B, (-1,-9);(-25,-10);(-49,-10)
A, (42,1);(5,24);(26,-1);(-48,6);(-31,-2);(-29,29)
B, (47,4);(52,-4);(52,-10)
O, (-38,-7);(2,6)
G, (47,8);(28,1);(9,-6);(-10,-10)
O, (-42,20);(-27,7)
A, (-46,11);(-30,12);(43,19);(9,6)
T, (-45,-5);(33,18);(-37,15);(-8,28)
G, (-18,4);(-33,-6);(-48,-10);(-52,-10)
T, (9,16);(-47,12);(-53,-1);(25,15)
A, (12,9);(-26,-2);(37,-6);(42,1)
T, (-48,-6);(22,22);(22,8);(-14,23)
A, (-52,2);(-10,-5);(-33,13);(-51,25)
O, (47,10);(18,12)
A, (22,-3);(31,-9);(-12,18);(-15,21)
T, (-39,1);(52,-2);(-30,-11);(11,8);(-13,6);(-37,29)
B, (16,6);(28,17);(40,28);(52,29)
G, (-29,-5);(-50,-10);(-52,-10)
O, (-47,-9);(-17,22)
A, (-47,29);(1,6);(-2,10);(30,1);(12,14)
B, (-7,10);(5,22);(17,29);(29,29);(41,29)
T, (-49,19);(7,-3);(-18,2);(-41,6)
A, (-29,9);(-51,16);(10,17);(13,-2)
T, (20,16);(-22,26);(-47,11);(-37,21)
O, (49,7);(2,13)
B, (-9,10);(-29,5);(-49,0);(-52,-5)
G, (-2,-1);(-13,9);(-24,19);(-35,29);(-46,29)
B, (-34,15);(-22,29);(-10,29);(2,29);(14,29);(26,29)
B, (-24,16);(-8,27);(8,29);(24,29);(40,29);(52,29)
B, (-29,1);(-13,-10);(3,-10);(19,-10);(35,-10);(51,-10)
B, (-10,15);(11,5);(32,-5)
B, (-23,-10);(-35,-10);(-47,-10)
G, (33,19);(13,29);(-7,29);(-27,29);(-47,29)
B, (36,-5);(49,-10);(52,-10)
O, (-19,-9);(-13,12)
A, (2,18);(-9,20);(-3,9);(-25,28);(15,5)
T, (-19,-10);(-47,-7);(21,15);(30,-2)
G, (-9,5);(-22,-7);(-35,-10);(-48,-10);(-52,-10)
A, (35,16);(16,20);(-35,-9);(-37,-7);(-23,3)
O, (-25,21);(43,19)
T, (26,27);(41,6);(27,9);(54,15)
O, (-43,8);(12,26)
A, (48,1);(31,2);(-11,-6);(-15,22)
B, (52,18);(41,28);(30,29);(19,29);(8,29)
B, (11,-8);(0,-10);(-11,-10);(-22,-10);(-33,-10)
A, (-1,-2);(5,-9);(34,-10);(42,23)
A, (-12,15);(-33,-8);(-12,7);(-27,2);(-18,6)
B, (6,22);(20,29);(34,29);(48,29)
B, (44,13);(52,1);(52,-10)
A, (42,13);(34,22);(49,-8);(-29,-5);(-44,21);(-40,-6)
B, (-50,22);(-52,29)
G, (-20,10);(-10,0);(0,-10);(10,-10)
T, (-45,5);(-28,-4);(-5,-5);(-51,24);(-17,5);(23,25)
O, (-21,3);(33,17)
G, (-52,23);(-28,29);(-4,29);(20,29)
A, (-43,7);(28,10);(-52,4);(-35,-5);(-1,10)
T, (54,14);(38,10);(7,12);(48,-1)
G, (-47,11);(-52,24);(-52,29)
G, (22,-4);(6,8);(-10,20)
O, (-19,10);(6,9)
G, (-25,4);(-14,11);(-3,18);(8,25);(19,29);(30,29)
O, (33,26);(21,18)
G, (-26,28);(-45,19);(-52,10);(-52,1);(-52,-8)
G, (3,1);(-18,-4);(-39,-9);(-52,-10)
A, (-2,27);(-18,17);(26,1);(48,14);(-49,20)
G, (-13,28);(-2,18);(9,8);(20,-2);(31,-10)
T, (50,2);(18,28);(51,-12);(6,11);(-9,14);(-37,20)
G, (15,0);(38,-10);(52,-10)
B, (-35,13);(-51,24);(-52,29)
B, (19,6);(43,-4);(52,-10)
O, (-37,7);(52,26)
A, (22,19);(-38,6);(26,-6);(41,5);(30,18)
B, (-10,6);(8,17);(26,28)
B, (12,21);(-4,29);(-20,29);(-36,29)
T, (10,-5);(10,30);(23,21);(18,7);(-9,17);(3,8)
G, (-28,24);(-9,13);(10,2);(29,-9)
G, (5,0);(28,11);(51,22);(52,29)
G, (-23,17);(-11,10);(1,3);(13,-4);(25,-10);(37,-10)
A, (-50,3);(1,13);(32,-2);(-36,5);(26,8)
B, (12,10);(-13,-3);(-38,-10);(-52,-10)
B, (-47,18);(-52,11);(-52,4);(-52,-3);(-52,-10)
A, (-2,16);(6,24);(-23,-9)
B, (35,25);(11,29);(-13,29);(-37,29);(-52,29)
G, (-22,9);(-42,24);(-52,29)
B, (-29,9);(-52,-2);(-52,-10)
T, (15,-10);(4,17);(-13,10);(-23,27);(3,3);(22,4)
B, (-36,10);(-47,17);(-52,24);(-52,29)
A, (-14,23);(-11,14);(-12,-4);(8,13);(20,28);(-7,17)
T, (19,-5);(0,-10);(0,8);(-45,12)
B, (16,13);(-6,2);(-28,-9);(-50,-10);(-52,-10)
A, (41,-7);(-23,8);(-33,-9)
O, (38,4);(42,27)
G, (20,-6);(31,3);(42,12);(52,21);(52,29)
B, (35,22);(47,15);(52,8)
T, (-45,-3);(-11,29);(-9,14);(42,12)
B, (45,-1);(52,6);(52,13);(52,20);(52,27)
A, (41,15);(2,29);(-36,21);(-30,-10)
B, (-44,9);(-23,18);(-2,27);(19,29);(40,29)
A, (6,0);(30,21);(40,8);(27,13)
